,name_normalized,total_points
20497,adrien sebastian perruchet silva,0
20498,adrien sebastian perruchet silva,0
20499,adrien sebastian perruchet silva,0
20500,adrien sebastian perruchet silva,0
20501,adrien sebastian perruchet silva,0
20502,adrien sebastian perruchet silva,0
20503,adrien sebastian perruchet silva,0
20504,adrien sebastian perruchet silva,0
20505,adrien sebastian perruchet silva,0
20506,adrien sebastian perruchet silva,0
20507,adrien sebastian perruchet silva,0
20508,adrien sebastian perruchet silva,0
20509,adrien sebastian perruchet silva,0
20510,adrien sebastian perruchet silva,0
20511,adrien sebastian perruchet silva,0
20512,adrien sebastian perruchet silva,0
20513,adrien sebastian perruchet silva,0
20514,adrien sebastian perruchet silva,0
20515,adrien sebastian perruchet silva,0
20516,adrian san miguel del castillo,0
20517,adrian san miguel del castillo,0
20518,adrian san miguel del castillo,0
20519,adrian san miguel del castillo,0
20520,adrian san miguel del castillo,0
20521,adrian san miguel del castillo,0
20522,adrian san miguel del castillo,0
20523,adrian san miguel del castillo,0
20524,adrian san miguel del castillo,0
20525,adrian san miguel del castillo,0
20526,adrian san miguel del castillo,0
20527,adrian san miguel del castillo,0
20528,adrian san miguel del castillo,0
20529,adrian san miguel del castillo,0
20530,adrian san miguel del castillo,0
20531,adrian san miguel del castillo,0
20532,adrian san miguel del castillo,0
20533,adrian san miguel del castillo,0
20534,adrian san miguel del castillo,0
20535,adrian san miguel del castillo,0
20536,adrian san miguel del castillo,0
20537,adrian san miguel del castillo,0
20538,adrian san miguel del castillo,0
20539,adrian san miguel del castillo,0
20540,adrian san miguel del castillo,0
20541,adrian san miguel del castillo,0
20542,adrian san miguel del castillo,0
20543,adrian san miguel del castillo,0
20544,adrian san miguel del castillo,0
20545,adrian san miguel del castillo,0
20546,adrian san miguel del castillo,0
20547,adrian san miguel del castillo,0
20548,adrian san miguel del castillo,0
20549,adrian san miguel del castillo,0
20550,adrian san miguel del castillo,0
20551,adrian san miguel del castillo,0
20552,adrian san miguel del castillo,0
20553,adrian san miguel del castillo,0
20554,ainsley maitland-niles,1
20555,ainsley maitland-niles,0
20556,ainsley maitland-niles,0
20557,ainsley maitland-niles,0
20558,ainsley maitland-niles,0
20559,ainsley maitland-niles,0
20560,ainsley maitland-niles,0
20561,ainsley maitland-niles,0
20562,ainsley maitland-niles,0
20563,ainsley maitland-niles,0
20564,ainsley maitland-niles,0
20565,ainsley maitland-niles,0
20566,ainsley maitland-niles,0
20567,ainsley maitland-niles,0
20568,ainsley maitland-niles,0
20569,ainsley maitland-niles,0
20570,ainsley maitland-niles,1
20571,ainsley maitland-niles,2
20572,ainsley maitland-niles,1
20573,ainsley maitland-niles,8
20574,ainsley maitland-niles,2
20575,ainsley maitland-niles,2
20576,ainsley maitland-niles,1
20577,ainsley maitland-niles,0
20578,ainsley maitland-niles,0
20579,ainsley maitland-niles,6
20580,ainsley maitland-niles,0
20581,ainsley maitland-niles,0
20582,ainsley maitland-niles,0
20583,ainsley maitland-niles,3
20584,ainsley maitland-niles,3
20585,ainsley maitland-niles,2
20586,ainsley maitland-niles,1
20587,ainsley maitland-niles,1
20588,ainsley maitland-niles,2
20589,ainsley maitland-niles,-2
20590,ainsley maitland-niles,0
20591,ainsley maitland-niles,0
20592,alberto moreno,0
20593,alberto moreno,0
20594,alberto moreno,0
20595,alberto moreno,0
20596,alberto moreno,0
20597,alberto moreno,0
20598,alberto moreno,0
20599,alberto moreno,0
20600,alberto moreno,0
20601,alberto moreno,2
20602,alberto moreno,0
20603,alberto moreno,0
20604,alberto moreno,0
20605,alberto moreno,0
20606,alberto moreno,2
20607,alberto moreno,0
20608,alberto moreno,0
20609,alberto moreno,0
20610,alberto moreno,0
20611,alberto moreno,0
20612,alberto moreno,0
20613,alberto moreno,0
20614,alberto moreno,0
20615,alberto moreno,0
20616,alberto moreno,0
20617,alberto moreno,0
20618,alberto moreno,0
20619,alberto moreno,0
20620,alberto moreno,0
20621,alberto moreno,0
20622,alberto moreno,0
20623,alberto moreno,0
20624,alberto moreno,0
20625,alberto moreno,0
20626,alberto moreno,0
20627,alberto moreno,0
20628,alberto moreno,0
20629,alberto moreno,0
20630,aleksandar mitrovic,2
20631,aleksandar mitrovic,6
20632,aleksandar mitrovic,16
20633,aleksandar mitrovic,5
20634,aleksandar mitrovic,2
